transaction,category
Paytm Wallet Add: HP Petroleum,Fuel
Bharat Petroleum Payment Ref 554433,Fuel
IOCL PETROL PUMP payment via QR Code,Fuel
BPCL filling station 20 Litres Txn Ref: 445566,Fuel
Diesel top-up Indian Oil Tanker 786,Fuel
Cash Deposit at ATM HPCL Outpost,Fuel
Card Swipe at Essar Petrol Pump GGN,Fuel
FASTag Recharge via ICICI App Txn 998877,Fuel
Fuel purchase at JIO-BP Pump,Fuel
Cash Withdrawal IOCL Petrol Station,Fuel
Service Charge at Indian Oil Pump,Fuel
HPCL Payment 45.5 Litres Ref 112233,Fuel
Petrol Pump UPI payment @petro.merch,Fuel
Speed Car Wash & Fuel Combo Txn,Fuel
Toll Fee Payment - Delhi-Jaipur Highway,Fuel
Petrol Refuel 1000.00 Ref ID 9988,Fuel
Diesel Purchase via Card,Fuel
IOCL Fuel Payment 2000 INR,Fuel
BPCL Fuel Card Topup,Fuel
Toll Gate Payment,Fuel
HPCL Petrol Station,Fuel
Indian Oil Fuel,Fuel
Whole Foods,Groceries
Instacart,Groceries
FreshDirect,Groceries
Walmart Grocery,Groceries
Trader Joe's,Groceries
FreshDirect,Groceries
FreshDirect,Groceries
Instacart,Groceries
FreshDirect,Groceries
TXN ID  NATURES BASKET,Groceries
#88324 SPENCERS RETAIL,Groceries
TXN ID  DMART PAYMENT @OKICICI,Groceries
NATURES BASKET,Groceries
*ORDER # FRESHTOHOME *ONLINE,Groceries
#88324 BIGBASKET ORDER 450.00,Groceries
FRESHTOHOME UPI@YBL,Groceries
UPI  JIOMART PURCHASE,Groceries
UPI@YBL SPENCERS RETAIL,Groceries
PAYMENT DMART PAYMENT UPI,Groceries
NATURES BASKET - BLR,Groceries
- BLR JIOMART PURCHASE 99.00 Rs,Groceries
450.00 FRESHTOHOME,Groceries
UPI@YBL FRESHTOHOME PAYMENT,Groceries
BIGBASKET ORDER 1299.00 INR,Groceries
- BLR BIGBASKET ORDER,Groceries
UPI  SPENCERS RETAIL,Groceries
FRESHTOHOME 450.00,Groceries
FRESHTOHOME 450.00,Groceries
BIGBASKET ORDER 450.00,Groceries
PAYMENT JIOMART PURCHASE - BLR,Groceries
FRESHTOHOME UPI@YBL,Groceries
*ONLINE NATURES BASKET *ONLINE,Groceries
*ONLINE FRESHTOHOME 450.00,Groceries
JIOMART PURCHASE#88324,Groceries
NATURES BASKET TXN ID,Groceries
JIOMART PURCHASE - MUMBAI,Groceries
DMART PAYMENT 1299.00 INR,Groceries
- MUMBAI JIOMART PURCHASE @OKICICI,Groceries
SWIGGY Instamart GrOCERY delivery #IN12345,Groceries
POS Purchase 15-Oct-25 M/S RELIANCE FRESH,Groceries
ATM Wdl Chgs 15-Nov-25 at STAR BAZAR A/C #00123,Groceries
Grocery Mart Supermarket 4567 txn-3928,Groceries
Payment to BigBasket Order BB12987,Groceries
Payment for groceries at DMart Store #15,Groceries
Card swipe at Big Bazaar for household goods,Groceries
Grofers Order ID #GRF65432-1 txn ID 87654,Groceries
Fresh vegetables purchase from local vendor UPI,Groceries
Wholesale purchase at METRO CASH & CARRY,Groceries
Txn for milk/bread at Mother Dairy Booth 10:00,Groceries
UPI payment to local Kirana Store Groceries,Groceries
Sabzi Mandi payment for veggies,Groceries
HyperCity purchase of toiletries,Groceries
Local Bakery Purchase - Sweets & Bread,Groceries
Farmers Market Purchase UPI Txn ID 19876,Groceries
Godrej Nature's Basket Invoice 567-G,Groceries
Canned Goods Purchase from Grocer,Groceries
Amazon Pantry Order #401-2345678,Groceries
Subscription Box Fee - Organic Veggies,Groceries
BigBasket delivery charge & payment,Groceries
Meat Purchase from Butcher Shop,Groceries
Online purchase of Detergent & Soap,Groceries
Milk Subscription Payment,Groceries
Tesco Supermarket Groceries,Groceries
BigBasket Milk & Eggs Order,Groceries
Local Vegetable Vendor,Groceries
Groceries at Reliance Smart,Groceries
Organic Food Store,Groceries
Fresh Produce Market,Groceries
BOL.COM ONLINE ORDER 7493,Shopping
Barnes & Noble Bookstore,Shopping
Amazon.com Order #112-998,Shopping
AMAZON MKTPLACE PMTS 1234,Shopping
MediaMarkt Electronics,Shopping
TARGET 1234,Shopping
AMAZON MKTPLACE PMT 10/03,Shopping
NORDSTROM ONLINE SHOP,Shopping
AppleCare Service Fee,Shopping
AMAZON EU SARL 2023,Shopping
MediaMarkt Electronics,Shopping
Best Buy Electronics,Shopping
Amazon Online Shopping,Shopping
Amazon.com Electronics,Shopping
Target In-Store Shopping,Shopping
NYKAA PAYMENT 450.00,Shopping
FLIPKART ORDER,Shopping
FLIPKART ORDER *ONLINE,Shopping
AJIO PURCHASE,Shopping
CROMA STORE#88324,Shopping
- MUMBAI NYKAA PAYMENT 450.00,Shopping
UPI@YBL CROMA STORE,Shopping
TXN ID  AJIO PURCHASE UPI,Shopping
UPI  MYNTRA ONLINE,Shopping
FLIPKART ORDER TXN ID,Shopping
- MUMBAI CROMA STORE,Shopping
FLIPKART ORDER,Shopping
AMZN Order 402-9843210-983472 for Electronics,Shopping
DEBIT CARD PURCHASE 01/11/25 PAYTM MALL,Shopping
"Online txn to ""Shoppers Stop"" Invoice 45A-2025",Shopping
Myntra Fashion Haul,Shopping
Clothes from Max Fashion,Shopping
Book Store Purchase,Shopping
Amazon Kindle Books,Shopping
- BLR CROMA STORE*ORDER #,Shopping
MYNTRA ONLINE,Shopping
AMAZON PAY UPI,Shopping
*ONLINE MYNTRA ONLINE - MUMBAI,Shopping
UPI  MYNTRA ONLINE 99.00 Rs,Shopping
FLIPKART ORDER 450.00,Shopping
CROMA STORE,Shopping
FLIPKART ORDER - MUMBAI,Shopping
AMAZON PAY,Shopping
#88324 NYKAA PAYMENT PAYMENT,Shopping
NYKAA PAYMENT,Shopping
*ONLINE AJIO PURCHASE,Shopping
AJIO PURCHASE - MUMBAI,Shopping
AMAZON PAY 450.00,Shopping
AMAZON PAY REF,Shopping
NYKAA PAYMENT,Shopping
99.00 Rs NYKAA PAYMENT#88324,Shopping
AJIO PURCHASE UPI@YBL,Shopping
- BLR FLIPKART ORDER 450.00,Shopping
FLIPKART ORDER PAYMENT,Shopping
*ORDER # NYKAA PAYMENT - MUMBAI,Shopping
- BLR NYKAA PAYMENT,Shopping
@OKICICI  FLIPKART ORDER - BLR,Shopping
AMAZON PAY,Shopping
CROMA STORE,Shopping
AJIO PURCHASE,Shopping
TXN ID  NYKAA PAYMENT,Shopping
MYNTRA ONLINE PAYMENT,Shopping
TXN ID  MYNTRA ONLINE PAYMENT,Shopping
AMZN Order 402-9843210-983472 for Electronics,Shopping
DEBIT CARD PURCHASE 01/11/25 PAYTM MALL,Shopping
"Online txn to ""Shoppers Stop"" Invoice 45A-2025",Shopping
Amazon Prime Renewal Fee,Shopping
Myntra E-commerce Order 789012,Shopping
Shoppers Stop Online Order 100983-A,Shopping
E-book Purchase Google Books,Shopping
HM Store Purchase Gpay,Shopping
Zara Sale Purchase,Shopping
Online Shopping Myntra,Shopping
Online Purchase Amazon,Shopping
Foot Locker Shoe Purchase,Shopping
Zara Kids Clothes,Shopping
Westin,Travel
American Airlines,Travel
Hotels.com,Travel
Hotels.com,Travel
Careem,Travel
Booking.com,Travel
United Airlines,Travel
Booking.com,Travel
UBER RIDE PARIS,Travel
LONDON UNDERGROUND,Travel
Uber Ride Airport,Travel
OLA TRIP 450.00,Travel
UPI  MAKEMYTRIP BOOKING 450.00,Travel
MAKEMYTRIP BOOKING,Travel
OLA TRIP UPI,Travel
GOIBIBO HOTEL,Travel
MAKEMYTRIP BOOKING REF,Travel
UBER RIDE,Travel
OLA TRIP,Travel
Bus Ticket Sleeper,Travel
Rental Car Booking,Travel
Metro Ride Fare,Travel
Flight Seat Upgrade,Travel
IRCTC TICKET 450.00,Travel
UBER RIDE - BLR,Travel
MAKEMYTRIP BOOKING TXN ID,Travel
@OKICICI  GOIBIBO HOTEL 1299.00 INR,Travel
IRCTC TICKET,Travel
99.00 Rs REDBUS PAYMENT*ORDER #,Travel
*ONLINE IRCTC TICKET,Travel
REDBUS PAYMENT - BLR,Travel
OLA TRIP*ORDER #,Travel
*ORDER # GOIBIBO HOTEL,Travel
REF  MAKEMYTRIP BOOKING - MUMBAI,Travel
UPI  GOIBIBO HOTEL UPI,Travel
- MUMBAI MAKEMYTRIP BOOKING,Travel
OLA TRIP*ORDER #,Travel
UPI  GOIBIBO HOTEL*ORDER #,Travel
450.00 MAKEMYTRIP BOOKING,Travel
#88324 REDBUS PAYMENT UPI@YBL,Travel
#88324 OLA TRIP 1299.00 INR,Travel
OLA TRIP REF,Travel
- BLR MAKEMYTRIP BOOKING,Travel
- BLR REDBUS PAYMENT TXN ID,Travel
IRCTC TICKET,Travel
- BLR GOIBIBO HOTEL UPI@YBL,Travel
#88324 GOIBIBO HOTEL PAYMENT,Travel
@OKICICI  GOIBIBO HOTEL 450.00,Travel
OLA TRIP @OKICICI,Travel
- MUMBAI IRCTC TICKET *ONLINE,Travel
GOIBIBO HOTEL TXN ID,Travel
Indigo Airlines Ticket Purchase PNR: FJK34T,Travel
Uber Ride fare payment to Driver UPI ID: driver@ybl,Travel
Hotel Stay Booking via MakeMyTrip ID MMT-984321,Travel
Ola Outstation Ride Payment,Travel
Railway Ticket Booking IRCTC PNR: ABCD12,Travel
IRCTC Tatkal Booking PNR: QWERTY,Travel
Mumbai Local Train Pass Renewal,Travel
Oyo Rooms Booking Delhi Ref OYO345,Travel
Airport Cab Fare Payment GPay,Travel
Bus Ticket from RedBus Booking ID 9876,Travel
Road Toll Payment NH48 via FASTag,Travel
Domestic Flight Ticket Vistara,Travel
Zoomcar Rental Payment,Travel





